sentence,label
"Our compliance with data protection regulations, including the General Data Protection Regulation in the European Union, is managed by a dedicated privacy function.",Neutral
"We use a 52/53-week fiscal year ending on the Sunday nearest to October 31 of each year.",Neutral
"The Company's executive officers are listed in Part III of this Annual Report on Form 10-K.",Neutral
"Our principal competitors vary by business segment and geographic market, and include both large multinational corporations and regional specialists.",Neutral
"Proceeds from the issuance of long-term debt are classified as financing activities in the consolidated statements of cash flows.",Neutral
"We operate under a matrix organisational structure that combines geographic and product-based management responsibilities.",Neutral
"Our employee share purchase plan allows eligible employees to purchase the Company's common stock at a 15% discount to the market price.",Neutral
"We measure performance share awards based on the total shareholder return relative to a comparator group over a three-year performance period.",Neutral
"The Company's risk oversight framework is described in the Corporate Governance section of our proxy statement.",Neutral
"Our information security programme is aligned with the NIST Cybersecurity Framework and is subject to annual third-party assessment.",Neutral
